"DSD010.Code.or.Value","DSD010.Value.Description","DSD010.Count","DSD010.Cumulative","DSD010.Skip.to.Item"
"1","Yes",4216,4216,NA
"2","No",5753,9969,NA
"7","Refused",1,9970,NA
"9","Don't know",1,9971,NA
".","Missing",0,9971,NA
