"DR1TVB1.Code.or.Value","DR1TVB1.Value.Description","DR1TVB1.Count","DR1TVB1.Cumulative","DR1TVB1.Skip.to.Item"
"0.004 to 9.609","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
