"RFXC139.Code.or.Value","RFXC139.Value.Description","RFXC139.Count","RFXC139.Cumulative","RFXC139.Skip.to.Item"
"-7.79 to 7.601","Range of Values",33675,33675,NA
".","Missing",46,33721,NA
