"VIQ160.Code.or.Value","VIQ160.Value.Description","VIQ160.Count","VIQ160.Cumulative","VIQ160.Skip.to.Item"
"1","Yes",1617,1617,""
"2","No",253,1870,"VIXNC1"
".","Missing",5120,6990,""
