"DS2DSCNT.Code.or.Value","DS2DSCNT.Value.Description","DS2DSCNT.Count","DS2DSCNT.Cumulative","DS2DSCNT.Skip.to.Item"
"0 to 16","Range of Values",7597,7597,NA
".","Missing",1741,9338,NA
