"BIDCM.Code.or.Value","BIDCM.Value.Description","BIDCM.Count","BIDCM.Cumulative","BIDCM.Skip.to.Item"
"0.24 to 64.94","Range of Values",4136,4136,NA
".","Missing",1175,5311,NA
