"OHD25LAS.Code.or.Value","OHD25LAS.Value.Description","OHD25LAS.Count","OHD25LAS.Cumulative","OHD25LAS.Skip.to.Item"
"0 to 10","Range of Values",2640,2640,NA
"99","Calculation cannot be determined",170,2810,NA
".","Missing",4320,7130,NA
