"WTSCI50.Code.or.Value","WTSCI50.Value.Description","WTSCI50.Count","WTSCI50.Cumulative","WTSCI50.Skip.to.Item"
"0 to 457285.14134","Range of Values",727,727,NA
".","Missing",51,778,NA
