"CFDCST3.Code.or.Value","CFDCST3.Value.Description","CFDCST3.Count","CFDCST3.Cumulative","CFDCST3.Skip.to.Item"
"0 to 10","Range of Values",1674,1674,NA
".","Missing",111,1785,NA
