"DR2TS140.Code.or.Value","DR2TS140.Value.Description","DR2TS140.Count","DR2TS140.Cumulative","DR2TS140.Skip.to.Item"
"0 to 19.255","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
