"AUDTYL13.Code.or.Value","AUDTYL13.Value.Description","AUDTYL13.Count","AUDTYL13.Cumulative","AUDTYL13.Skip.to.Item"
"0 to 0.84","Range of Values",1672,1672,NA
".","Missing",135,1807,NA
