"LBXSAL.Code.or.Value","LBXSAL.Value.Description","LBXSAL.Count","LBXSAL.Cumulative","LBXSAL.Skip.to.Item"
"2 to 5.6","Range of Values",6256,6256,NA
".","Missing",488,6744,NA
