"LBXRDW.Code.or.Value","LBXRDW.Value.Description","LBXRDW.Count","LBXRDW.Cumulative","LBXRDW.Skip.to.Item"
"9.7 to 31.8","Range of Values",8799,8799,NA
".","Missing",1036,9835,NA
