"URXUBE.Code.or.Value","URXUBE.Value.Description","URXUBE.Count","URXUBE.Cumulative","URXUBE.Skip.to.Item"
"0.051 to 0.08","Range of Values",2576,2576,NA
".","Missing",116,2692,NA
