"BMXSAD3.Code.or.Value","BMXSAD3.Value.Description","BMXSAD3.Count","BMXSAD3.Cumulative","BMXSAD3.Skip.to.Item"
"11 to 36.4","Range of Values",398,398,NA
".","Missing",8940,9338,NA
