"DS1TPHOS.Code.or.Value","DS1TPHOS.Value.Description","DS1TPHOS.Count","DS1TPHOS.Cumulative","DS1TPHOS.Skip.to.Item"
"4 to 440","Range of Values",982,982,NA
".","Missing",9271,10253,NA
