"FFQ0071A.Code.or.Value","FFQ0071A.Value.Description","FFQ0071A.Count","FFQ0071A.Cumulative","FFQ0071A.Skip.to.Item"
1,"Almost never or never",2828,2828,NA
2,"About 1/4 of the time",598,3426,NA
3,"About 1/2 of the time",572,3998,NA
4,"About 3/4 of the time",275,4273,NA
5,"Almost always or always",660,4933,NA
88,"Blank",1079,6012,NA
99,"Error",1,6013,NA
