"URXMX4.Code.or.Value","URXMX4.Value.Description","URXMX4.Count","URXMX4.Cumulative","URXMX4.Skip.to.Item"
"0.007 to 584","Range of Values",2398,2398,NA
".","Missing",107,2505,NA
