"OPDUAGA.Code.or.Value","OPDUAGA.Value.Description","OPDUAGA.Count","OPDUAGA.Cumulative","OPDUAGA.Skip.to.Item"
"0","No",2401,2401,NA
"1","Yes",23,2424,NA
".","Missing",510,2934,NA
