"LBXVDX.Code.or.Value","LBXVDX.Value.Description","LBXVDX.Count","LBXVDX.Cumulative","LBXVDX.Skip.to.Item"
"0.3536 to 0.3536","Range of Values",3100,3100,NA
".","Missing",347,3447,NA
