"DRD350EQ.Code.or.Value","DRD350EQ.Value.Description","DRD350EQ.Count","DRD350EQ.Cumulative","DRD350EQ.Skip.to.Item"
"1 to 3","Range of Values",47,47,NA
".","Missing",10430,10477,NA
