"OHQ848G.Code.or.Value","OHQ848G.Value.Description","OHQ848G.Count","OHQ848G.Cumulative","OHQ848G.Skip.to.Item"
"1","Enter number",3372,3372,""
"2","Child does not brush yet",45,3417,""
"3","Does not brush every day",42,3459,"OHQ849"
"7","Refused",0,3459,""
"9","Don't know",2,3461,""
".","Missing",6309,9770,""
