"URDMX5LC.Code.or.Value","URDMX5LC.Value.Description","URDMX5LC.Count","URDMX5LC.Cumulative","URDMX5LC.Skip.to.Item"
"0","At or above the detection limit",2596,2596,NA
"1","Below lower detection limit",118,2714,NA
".","Missing",117,2831,NA
