"TYXP163.Code.or.Value","TYXP163.Value.Description","TYXP163.Count","TYXP163.Cumulative","TYXP163.Skip.to.Item"
"-295 to 6","Range of Values",4262,4262,NA
".","Missing",4207,8469,NA
