"SSBDCPP.Code.or.Value","SSBDCPP.Value.Description","SSBDCPP.Count","SSBDCPP.Cumulative","SSBDCPP.Skip.to.Item"
"0.071 to 70.1","Range of Values",2045,2045,NA
".","Missing",9,2054,NA
