"URXDHB.Code.or.Value","URXDHB.Value.Description","URXDHB.Count","URXDHB.Cumulative","URXDHB.Skip.to.Item"
"3.71 to 2410","Range of Values",2240,2240,NA
".","Missing",109,2349,NA
