"WBXA078.Code.or.Value","WBXA078.Value.Description","WBXA078.Count","WBXA078.Cumulative","WBXA078.Skip.to.Item"
"-1.2565 to 0.9995","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
