"DS1IIRON.Code.or.Value","DS1IIRON.Value.Description","DS1IIRON.Count","DS1IIRON.Cumulative","DS1IIRON.Skip.to.Item"
"0.068 to 500","Range of Values",877,877,NA
".","Missing",4817,5694,NA
