"SMDANY.Code.or.Value","SMDANY.Value.Description","SMDANY.Count","SMDANY.Cumulative","SMDANY.Skip.to.Item"
"1","Yes",1211,1211,NA
"2","No",4741,5952,NA
"7","Refused",0,5952,NA
"9","Don't know",0,5952,NA
".","Missing",449,6401,NA
