"ALQ130.Code.or.Value","ALQ130.Value.Description","ALQ130.Count","ALQ130.Cumulative","ALQ130.Skip.to.Item"
"1 to 83","Range of Values",3312,3312,NA
"777","Refused",0,3312,NA
"999","Don't know",11,3323,NA
".","Missing",2384,5707,NA
