"DS1TFDFE.Code.or.Value","DS1TFDFE.Value.Description","DS1TFDFE.Count","DS1TFDFE.Cumulative","DS1TFDFE.Skip.to.Item"
"3 to 8160","Range of Values",1773,1773,NA
".","Missing",7989,9762,NA
