"SPXBEV.Code.or.Value","SPXBEV.Value.Description","SPXBEV.Count","SPXBEV.Cumulative","SPXBEV.Skip.to.Item"
"2 to 207","Range of Values",496,496,NA
".","Missing",7699,8195,NA
