"DR1TM181.Code.or.Value","DR1TM181.Value.Description","DR1TM181.Count","DR1TM181.Cumulative","DR1TM181.Skip.to.Item"
"0 to 184.215","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
