"URXCNP.Code.or.Value","URXCNP.Value.Description","URXCNP.Count","URXCNP.Cumulative","URXCNP.Skip.to.Item"
"0.35 to 651.4","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
