"DSQTVB12.Code.or.Value","DSQTVB12.Value.Description","DSQTVB12.Count","DSQTVB12.Cumulative","DSQTVB12.Skip.to.Item"
"0 to 10000.8","Range of Values",2632,2632,NA
".","Missing",7517,10149,NA
