"DSDANCNT.Code.or.Value","DSDANCNT.Value.Description","DSDANCNT.Count","DSDANCNT.Cumulative","DSDANCNT.Skip.to.Item"
"0 to 2","Range of Values",9969,9969,NA
"77","Refused",0,9969,NA
"99","Don't know",2,9971,NA
".","Missing",0,9971,NA
