"AUDTYR51.Code.or.Value","AUDTYR51.Value.Description","AUDTYR51.Count","AUDTYR51.Cumulative","AUDTYR51.Skip.to.Item"
"0 to 3.5","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
