"AUXRR277.Code.or.Value","AUXRR277.Value.Description","AUXRR277.Count","AUXRR277.Cumulative","AUXRR277.Skip.to.Item"
"-40 to 43","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
