"DIQ200C.Code.or.Value","DIQ200C.Value.Description","DIQ200C.Count","DIQ200C.Cumulative","DIQ200C.Skip.to.Item"
"1","Yes",2850,2850,NA
"2","No",4412,7262,NA
"7","Refused",0,7262,NA
"9","Don't know",5,7267,NA
".","Missing",2555,9822,NA
