"LBCBB1.Code.or.Value","LBCBB1.Value.Description","LBCBB1.Count","LBCBB1.Cumulative","LBCBB1.Skip.to.Item"
"1.8 to 967.8","Range of Values",247,247,NA
".","Missing",0,247,NA
