"LBDPDELC.Code.or.Value","LBDPDELC.Value.Description","LBDPDELC.Count","LBDPDELC.Cumulative","LBDPDELC.Skip.to.Item"
"0","detectable result",1962,1962,NA
"1","below detectable limit",2,1964,NA
".","Missing",310,2274,NA
