"LBCHCBLA.Code.or.Value","LBCHCBLA.Value.Description","LBCHCBLA.Count","LBCHCBLA.Cumulative","LBCHCBLA.Skip.to.Item"
"4.097 to 37.09","Range of Values",251,251,NA
".","Missing",0,251,NA
