"DS2LOC.Code.or.Value","DS2LOC.Value.Description","DS2LOC.Count","DS2LOC.Cumulative","DS2LOC.Skip.to.Item"
"1","HouseHold Interview",4693,4693,NA
"2","MEC Interview",522,5215,NA
"3","Phone Interview",382,5597,NA
".","Missing",1,5598,NA
