"DX2TOFAT.Code.or.Value","DX2TOFAT.Value.Description","DX2TOFAT.Count","DX2TOFAT.Cumulative","DX2TOFAT.Skip.to.Item"
"6669 to 56241.2","Range of Values",414,414,NA
".","Missing",71,485,NA
