"DR2TMAGN.Code.or.Value","DR2TMAGN.Value.Description","DR2TMAGN.Count","DR2TMAGN.Cumulative","DR2TMAGN.Skip.to.Item"
"0 to 1187","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
