"RFXT083.Code.or.Value","RFXT083.Value.Description","RFXT083.Count","RFXT083.Cumulative","RFXT083.Skip.to.Item"
"716 to 725","Range of Values",33695,33695,NA
".","Missing",26,33721,NA
