"DR1TS040.Code.or.Value","DR1TS040.Value.Description","DR1TS040.Count","DR1TS040.Cumulative","DR1TS040.Skip.to.Item"
"0 to 5.403","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
