"AUXU8KL.Code.or.Value","AUXU8KL.Value.Description","AUXU8KL.Count","AUXU8KL.Cumulative","AUXU8KL.Skip.to.Item"
"-10 to 105","Range of Values",1755,1755,NA
"666","No response",9,1764,NA
"888","Could not obtain",2,1766,NA
".","Missing",123,1889,NA
