"DED051.Code.or.Value","DED051.Value.Description","DED051.Count","DED051.Cumulative","DED051.Skip.to.Item"
"1","Yes",323,323,NA
"2","No",2753,3076,NA
"7","Refused",0,3076,NA
"9","Don't know",62,3138,NA
".","Missing",2,3140,NA
