"ECQ150.Code.or.Value","ECQ150.Value.Description","ECQ150.Count","ECQ150.Cumulative","ECQ150.Skip.to.Item"
"1","Yes",253,253,NA
"2","No",59,312,NA
"7","Refused",0,312,NA
"9","Don't know",0,312,NA
".","Missing",3269,3581,NA
