"DRD360.Code.or.Value","DRD360.Value.Description","DRD360.Count","DRD360.Cumulative","DRD360.Skip.to.Item"
"1","Yes",5424,5424,""
"2","No",3429,8853,"End of Section"
"7","Refused",10,8863,"End of Section"
"9","Don't know",39,8902,"End of Section"
".","Missing",860,9762,""
