"PSQ260.Code.or.Value","PSQ260.Value.Description","PSQ260.Count","PSQ260.Cumulative","PSQ260.Skip.to.Item"
"1","True",34,34,NA
"2","False",8,42,NA
"7","Refused",0,42,NA
"9","Don't know",26,68,NA
".","Missing",53,121,NA
