"OSQ010b.Code.or.Value","OSQ010b.Value.Description","OSQ010b.Count","OSQ010b.Cumulative","OSQ010b.Skip.to.Item"
"1","Yes",472,472,"OSQ020b"
"2","No",4502,4974,""
"7","Refused",0,4974,""
"9","Don't know",5,4979,""
".","Missing",0,4979,""
