"DR1TS060.Code.or.Value","DR1TS060.Value.Description","DR1TS060.Count","DR1TS060.Cumulative","DR1TS060.Skip.to.Item"
"0 to 3.413","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
