"BIXS031K.Code.or.Value","BIXS031K.Value.Description","BIXS031K.Count","BIXS031K.Cumulative","BIXS031K.Skip.to.Item"
"271.64 to 988.36","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
