"DS1TSFAT.Code.or.Value","DS1TSFAT.Value.Description","DS1TSFAT.Count","DS1TSFAT.Cumulative","DS1TSFAT.Skip.to.Item"
"0.05 to 30","Range of Values",135,135,NA
".","Missing",9409,9544,NA
