"DUQ310U.Code.or.Value","DUQ310U.Value.Description","DUQ310U.Count","DUQ310U.Cumulative","DUQ310U.Skip.to.Item"
"1","Days",3,3,NA
"2","Weeks",2,5,NA
"3","Months",5,10,NA
"4","Years",55,65,NA
"7","Refused",0,65,NA
"9","Don't know",0,65,NA
".","Missing",4731,4796,NA
