"URXDEA.Code.or.Value","URXDEA.Value.Description","URXDEA.Count","URXDEA.Cumulative","URXDEA.Skip.to.Item"
"0.3352 to 30400","Range of Values",2735,2735,NA
".","Missing",96,2831,NA
