"LBXTT4.Code.or.Value","LBXTT4.Value.Description","LBXTT4.Count","LBXTT4.Cumulative","LBXTT4.Skip.to.Item"
"1.5 to 27.6","Range of Values",6263,6263,NA
".","Missing",654,6917,NA
