"DRQ370LQ.Code.or.Value","DRQ370LQ.Value.Description","DRQ370LQ.Count","DRQ370LQ.Cumulative","DRQ370LQ.Skip.to.Item"
"1 to 10","Range of Values",36,36,NA
".","Missing",9246,9282,NA
