"BIXS010K.Code.or.Value","BIXS010K.Value.Description","BIXS010K.Count","BIXS010K.Cumulative","BIXS010K.Skip.to.Item"
"286.83 to 1043.65","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
