"DLQ150.Code.or.Value","DLQ150.Value.Description","DLQ150.Count","DLQ150.Cumulative","DLQ150.Skip.to.Item"
"1","Yes",531,531,NA
"2","No",5403,5934,NA
"7","Refused",0,5934,NA
"9","Don't know",9,5943,NA
".","Missing",3632,9575,NA
