"AUXLR153.Code.or.Value","AUXLR153.Value.Description","AUXLR153.Count","AUXLR153.Cumulative","AUXLR153.Skip.to.Item"
"-51 to 55","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
