"URXVOL3.Code.or.Value","URXVOL3.Value.Description","URXVOL3.Count","URXVOL3.Cumulative","URXVOL3.Skip.to.Item"
"0 to 388","Range of Values",92,92,NA
".","Missing",8499,8591,NA
